namespace	name	module	kind	signature
infrastructure	set_street_params	infrastructure	tool	(ctx: Context, session_id: str='default', street_index: int=0, t_crown: float=0.0, h_curb: float=0.0, sx: float=0.0, n_road: float=0.0, gutter_depres: float=0.0, gutter_width: float=0.0, sides: int=1, back_width: float=0.0, back_slope: float=0.0, back_n: float=0.0) -> dict
infrastructure	set_transect_roughness	infrastructure	tool	(ctx: Context, session_id: str='default', transect_index: int=0, n_left: float=0.0, n_right: float=0.0, n_channel: float=0.0) -> dict
infrastructure	street_count	infrastructure	tool	(ctx: Context, session_id: str='default') -> dict
infrastructure	transect_count	infrastructure	tool	(ctx: Context, session_id: str='default') -> dict
lifecycle	close_model	lifecycle	tool	(ctx: Context, session_id: str='default') -> dict
lifecycle	get_simulation_state	lifecycle	tool	(ctx: Context, session_id: str='default') -> dict
lifecycle	get_simulation_time	lifecycle	tool	(ctx: Context, session_id: str='default') -> dict
lifecycle	list_sessions	lifecycle	tool	(ctx: Context) -> list[dict]
lifecycle	open_model	lifecycle	tool	(ctx: Context, inp_path: str, session_id: str='default', rpt_path: str | None=None, out_path: str | None=None, engine: str='openswmm') -> ModelSummary
lifecycle	run_simulation	lifecycle	tool	(ctx: Context, session_id: str='default') -> SimulationResult
lifecycle	step_simulation	lifecycle	tool	(ctx: Context, session_id: str='default', num_steps: int=1) -> StepResult
query	find_elements	query	tool	(ctx: Context, session_id: str='default', pattern: str | None=None, element_type: str | None=None) -> list[ElementSearchResult]
query	get_gage_info	query	tool	(ctx: Context, session_id: str='default', gage_id: str | None=None) -> GageInfo | list[GageInfo]
query	get_link_info	query	tool	(ctx: Context, session_id: str='default', link_id: str | None=None) -> LinkInfo | list[LinkInfo]
query	get_node_info	query	tool	(ctx: Context, session_id: str='default', node_id: str | None=None, properties: list[str] | None=None) -> NodeInfo | list[NodeInfo]
query	get_pollutant_info	query	tool	(ctx: Context, session_id: str='default', pollutant_id: str | None=None) -> PollutantInfo | list[PollutantInfo]
query	get_subcatchment_info	query	tool	(ctx: Context, session_id: str='default', subcatch_id: str | None=None) -> SubcatchmentInfo | list[SubcatchmentInfo]
query	get_system_summary	query	tool	(ctx: Context, session_id: str='default') -> SystemSummary
resources	link_detail	model	resource	(session_id: str, link_id: str, ctx: Context) -> str# 148 entries (139 tools, 9 resources) across 15 modules

resources	list_links	model	resource	(session_id: str, ctx: Context) -> str
resources	list_nodes	model	resource	(session_id: str, ctx: Context) -> str
resources	list_sessions	model	resource	(ctx: Context) -> str
resources	list_subcatchments	model	resource	(session_id: str, ctx: Context) -> str
resources	mass_balance	model	resource	(session_id: str, ctx: Context) -> str
resources	node_detail	model	resource	(session_id: str, node_id: str, ctx: Context) -> str
resources	session_summary	model	resource	(session_id: str, ctx: Context) -> str
resources	simulation_options	model	resource	(session_id: str, ctx: Context) -> str
spatial_quality	add_lid	spatial_quality	tool	(ctx: Context, session_id: str='default', subcatch_id: str='', lid_idx: int=0, number: int=1, area: float=0.0, width: float=0.0, init_sat: float=0.0, from_imperv: float=1.0) -> dict
spatial_quality	get_all_coordinates	spatial_quality	tool	(ctx: Context, session_id: str='default', element_type: str='node') -> dict
spatial_quality	get_all_polygons	spatial_quality	tool	(ctx: Context, session_id: str='default') -> dict
spatial_quality	get_all_vertices	spatial_quality	tool	(ctx: Context, session_id: str='default') -> dict
spatial_quality	get_coordinates	spatial_quality	tool	(ctx: Context, session_id: str='default', element_type: str='node', element_id: str='') -> SpatialResult
spatial_quality	get_crs	spatial_quality	tool	(ctx: Context, session_id: str='default') -> dict
spatial_quality	get_model_geometry	spatial_quality	tool	(ctx: Context, session_id: str='default') -> dict
spatial_quality	get_polygon	spatial_quality	tool	(ctx: Context, session_id: str='default', subcatch_id: str='') -> dict
spatial_quality	get_quality	spatial_quality	tool	(ctx: Context, session_id: str='default', element_type: str='node', element_id: str='', pollutant: str | None=None) -> dict
spatial_quality	get_vertices	spatial_quality	tool	(ctx: Context, session_id: str='default', link_id: str='') -> dict
spatial_quality	set_coordinates	spatial_quality	tool	(ctx: Context, session_id: str='default', element_type: str='node', element_id: str='', x: float=0.0, y: float=0.0) -> dict
spatial_quality	set_crs	spatial_quality	tool	(ctx: Context, session_id: str='default', crs: str='') -> dict
spatial_quality	set_polygon	spatial_quality	tool	(ctx: Context, session_id: str='default', subcatch_id: str='', polygon: list[list[float]]=[]) -> dict
spatial_quality	set_treatment	spatial_quality	tool	(ctx: Context, session_id: str='default', node_id: str='', pollutant: str='', expression: str='') -> dict
spatial_quality	set_vertices	spatial_quality	tool	(ctx: Context, session_id: str='default', link_id: str='', vertices: list[list[float]]=[]) -> dict
tables	add_curve	tables	tool	(ctx: Context, session_id: str='default', curve_id: str='', curve_type: str='storage', x_values: list[float] | None=None, y_values: list[float] | None=None) -> dict
tables	add_point	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='', x: float=0.0, y: float=0.0) -> dict
tables	add_timeseries	tables	tool	(ctx: Context, session_id: str='default', ts_id: str='', times: list[float] | None=None, values: list[float] | None=None) -> dict
tables	clear_points	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='') -> dict
tables	count	tables	tool	(ctx: Context, session_id: str='default') -> dict
tables	get_id	tables	tool	(ctx: Context, session_id: str='default', index: int=0) -> dict
tables	get_index	tables	tool	(ctx: Context, session_id: str='default', table_id: str='') -> dict
tables	get_point	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='', point_index: int=0) -> dict
tables	get_point_count	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='') -> dict
tables	get_points	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='') -> dict
tables	lookup	tables	tool	(ctx: Context, session_id: str='default', table_id: str | int='', x: float=0.0) -> dict
tables	pattern_add	tables	tool	(ctx: Context, session_id: str='default', pattern_id: str='', pattern_type: str='monthly', factors: list[float] | None=None) -> dict
tables	pattern_count	tables	tool	(ctx: Context, session_id: str='default') -> dict
tables	pattern_set_factors	tables	tool	(ctx: Context, session_id: str='default', pattern_index: int=0, factors: list[float] | None=None) -> dict
