# source: Vasconcelos, Wright and Roe (2006) Fig. 5 -- raster image vasconcelos2006_p07_Im5.tiff extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: water velocity (m/s) at x = 9.9 m, SI.  time zero = the event.
# note: figure ordinate is cm/s; converted to m/s (x 0.01)
# x calibration (px -> s):   103.0 -> 0.0   876.5 -> 50.0  (axis box = axis limits)
# y calibration (px -> val): 131.0 -> 0.0   737.5 -> -6.0  (axis box = axis limits)
# open model markers removed by hole-filling; per-column longest ink run.
# digitized 2026-08-31 by scripts/digitize/vasconcelos_bilevel.py fig5_e3_v99
time_s,velocity_mps
9.3730,-0.02735
9.4376,-0.02735
9.5023,-0.02730
9.5669,-0.01568
9.6315,-0.01494
9.6962,-0.01479
9.7608,-0.02463
9.8255,-0.01519
9.8901,-0.01232
10.0194,-0.02270
10.0840,-0.02073
10.1487,-0.02068
10.2133,-0.01894
10.2780,-0.01890
10.3426,-0.01885
10.4072,-0.00900
10.4719,-0.00900
10.5365,-0.01702
10.6012,-0.00712
10.6658,-0.01608
10.7304,-0.00569
10.7951,-0.01430
10.8597,-0.01425
10.9244,-0.00500
10.9890,-0.01078
11.0537,-0.01237
11.1183,-0.00376
11.2476,-0.00287
11.3122,-0.00979
11.3769,-0.00297
11.4415,-0.00856
11.5061,-0.00791
11.5708,-0.00247
11.6354,-0.00232
11.7001,-0.00228
11.7647,-0.00213
11.8293,-0.00213
11.8940,-0.00208
11.9586,-0.00198
12.0233,-0.00297
12.0879,-0.00287
12.1526,-0.00228
12.2172,-0.00228
12.2818,-0.00228
12.3465,-0.00247
12.4111,-0.00247
12.4758,-0.00242
12.5404,-0.00228
12.6050,-0.00163
12.6697,-0.00148
12.7343,-0.00168
12.7990,-0.00168
12.8636,-0.00173
12.9282,-0.00213
12.9929,-0.00218
13.0575,-0.00218
13.1222,-0.00213
13.1868,-0.00099
13.2515,-0.00099
13.3161,-0.00099
13.3807,-0.00099
13.4454,-0.00539
13.5100,-0.00564
13.5747,-0.00564
13.6393,-0.00099
13.7039,-0.00104
13.7686,-0.00109
13.8332,-0.00114
13.8979,-0.00124
13.9625,-0.00138
14.0271,-0.00193
14.0918,-0.00203
14.1564,-0.00257
14.2211,-0.00262
14.2857,-0.00302
14.3504,-0.00371
14.4150,-0.00371
14.4796,-0.00406
14.5443,-0.00475
14.6089,-0.00490
14.6736,-0.00559
14.7382,-0.00594
14.8028,-0.00613
14.8675,-0.00623
14.9321,-0.00737
14.9968,-0.00791
15.0614,-0.00707
15.1261,-0.00876
15.1907,-0.00910
15.2553,-0.01998
15.4493,-0.02068
15.5139,-0.01083
15.5785,-0.01078
15.6432,-0.01336
15.7078,-0.01261
15.7725,-0.01514
15.8371,-0.02567
15.9017,-0.01647
15.9664,-0.01627
16.0310,-0.02849
16.0957,-0.01786
16.1603,-0.01791
